"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x44196397","x1539033430876356609",2022-06-20 23:52:18,"elonmusk","@Degentraland Artificial Insemination?","Twitter for iPhone",24,"x1539031723199057922","x1440798044891463685","Degentraland",FALSE,FALSE,6963,270,66,830,,,,,,,,,,,,,,"x1440798044891463685","Degentraland","fr",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/elonmusk/status/1539033430876356609","Elon Musk",,,,FALSE,99088213,114,96757,18553,13695,2009-06-02 20:12:29,TRUE,,,,"https://pbs.twimg.com/profile_banners/44196397/1576183471","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1529956155937759233/Nyn1HZWF_normal.jpg"
"x44196397","x1539031248638812160",2022-06-20 23:43:38,"elonmusk","AI gets better every day https://t.co/Lz5XfXRJjh","Twitter for iPhone",24,,,,FALSE,FALSE,90161,9333,1075,8200,,,,,,"http://pbs.twimg.com/media/FVu8wOZX0AAIjoU.jpg","https://t.co/Lz5XfXRJjh","https://twitter.com/elonmusk/status/1539031248638812160/photo/1","photo","http://pbs.twimg.com/media/FVu8wOZX0AAIjoU.jpg","https://t.co/Lz5XfXRJjh","https://twitter.com/elonmusk/status/1539031248638812160/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/elonmusk/status/1539031248638812160","Elon Musk",,,,FALSE,99088213,114,96757,18553,13695,2009-06-02 20:12:29,TRUE,,,,"https://pbs.twimg.com/profile_banners/44196397/1576183471","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1529956155937759233/Nyn1HZWF_normal.jpg"
"x44196397","x1538998865495564291",2022-06-20 21:34:57,"elonmusk","Some great suggestions in the comments!","Twitter for iPhone",,"x1538986794703781888","x44196397","elonmusk",FALSE,FALSE,22970,1078,101,4214,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/elonmusk/status/1538998865495564291","Elon Musk",,,,FALSE,99088213,114,96757,18553,13695,2009-06-02 20:12:29,TRUE,,,,"https://pbs.twimg.com/profile_banners/44196397/1576183471","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1529956155937759233/Nyn1HZWF_normal.jpg"
"x44196397","x1538992942983127040",2022-06-20 21:11:25,"elonmusk","But sometimes they’re out of stock
https://t.co/ybRiBp1kkP","Twitter for iPhone",,"x1538991118603411461","x44196397","elonmusk",FALSE,FALSE,18808,934,130,1590,,,"m.youtube.com/watch?v=Hz1JWz…","https://t.co/ybRiBp1kkP","https://m.youtube.com/watch?v=Hz1JWzyvv8A",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/elonmusk/status/1538992942983127040","Elon Musk",,,,FALSE,99088213,114,96757,18553,13695,2009-06-02 20:12:29,TRUE,,,,"https://pbs.twimg.com/profile_banners/44196397/1576183471","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1529956155937759233/Nyn1HZWF_normal.jpg"
"x44196397","x1538992456083161097",2022-06-20 21:09:29,"elonmusk","@marenkahnert That was the largest wheel of cheese in the Beverly Hills Cheese Shop!","Twitter for iPhone",70,"x1538988689841393668","x844168027402854400","marenkahnert",FALSE,FALSE,4528,166,17,284,,,,,,,,,,,,,,"x844168027402854400","marenkahnert","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/elonmusk/status/1538992456083161097","Elon Musk",,,,FALSE,99088213,114,96757,18553,13695,2009-06-02 20:12:29,TRUE,,,,"https://pbs.twimg.com/profile_banners/44196397/1576183471","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1529956155937759233/Nyn1HZWF_normal.jpg"
"x44196397","x1538992101739855877",2022-06-20 21:08:04,"elonmusk","@teslaownersSV I love many cheeses, so hard to say that a particular one is best, but maybe Stilton","Twitter for iPhone",84,"x1538991680015065088","x1016059981907386368","teslaownersSV",FALSE,FALSE,3779,278,105,914,,,,,,,,,,,,,,"x1016059981907386368","teslaownersSV","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/elonmusk/status/1538992101739855877","Elon Musk",,,,FALSE,99088213,114,96757,18553,13695,2009-06-02 20:12:29,TRUE,,,,"https://pbs.twimg.com/profile_banners/44196397/1576183471","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1529956155937759233/Nyn1HZWF_normal.jpg"
"x44196397","x1538991118603411461",2022-06-20 21:04:10,"elonmusk","The sheer variety of cheese is amazing","Twitter for iPhone",,"x1538986794703781888","x44196397","elonmusk",FALSE,FALSE,34156,1613,277,2716,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/elonmusk/status/1538991118603411461","Elon Musk",,,,FALSE,99088213,114,96757,18553,13695,2009-06-02 20:12:29,TRUE,,,,"https://pbs.twimg.com/profile_banners/44196397/1576183471","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1529956155937759233/Nyn1HZWF_normal.jpg"
"x44196397","x1538986794703781888",2022-06-20 20:46:59,"elonmusk","What … is your favorite cheese?","Twitter for iPhone",,,,,FALSE,FALSE,140320,7878,8174,79609,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/elonmusk/status/1538986794703781888","Elon Musk",,,,FALSE,99088213,114,96757,18553,13695,2009-06-02 20:12:29,TRUE,,,,"https://pbs.twimg.com/profile_banners/44196397/1576183471","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1529956155937759233/Nyn1HZWF_normal.jpg"
"x44196397","x1538985909395279872",2022-06-20 20:43:28,"elonmusk","@teslaownersSV cgi irl","Twitter for iPhone",7,"x1538973946011275264","x1016059981907386368","teslaownersSV",FALSE,FALSE,12282,410,31,698,,,,,,,,,,,,,,"x1016059981907386368","teslaownersSV","tl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/elonmusk/status/1538985909395279872","Elon Musk",,,,FALSE,99088213,114,96757,18553,13695,2009-06-02 20:12:29,TRUE,,,,"https://pbs.twimg.com/profile_banners/44196397/1576183471","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1529956155937759233/Nyn1HZWF_normal.jpg"
"x44196397","x1538951248187011072",2022-06-20 18:25:44,"elonmusk","@Andst7 Trending to emptiness","Twitter for iPhone",21,"x1538947594935599110","x541882699","Andst7",FALSE,FALSE,18210,998,107,2118,,,,,,,,,,,,,,"x541882699","Andst7","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/elonmusk/status/1538951248187011072","Elon Musk",,,,FALSE,99088213,114,96757,18553,13695,2009-06-02 20:12:29,TRUE,,,,"https://pbs.twimg.com/profile_banners/44196397/1576183471","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1529956155937759233/Nyn1HZWF_normal.jpg"
"x44196397","x1538946250409660418",2022-06-20 18:05:52,"elonmusk","@waitbutwhy Could be a contributor","Twitter for iPhone",22,"x1538927523672768513","x1282121312","waitbutwhy",FALSE,FALSE,6065,274,30,558,,,,,,,,,,,,,,"x1282121312","waitbutwhy","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/elonmusk/status/1538946250409660418","Elon Musk",,,,FALSE,99088213,114,96757,18553,13695,2009-06-02 20:12:29,TRUE,,,,"https://pbs.twimg.com/profile_banners/44196397/1576183471","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1529956155937759233/Nyn1HZWF_normal.jpg"
"x44196397","x1538943339776684034",2022-06-20 17:54:19,"elonmusk","@teslaownersSV @SpaceX Super talented team at SpaceX","Twitter for iPhone",29,"x1538669414630903810","x1016059981907386368","teslaownersSV",FALSE,FALSE,59910,2227,92,1625,,,,,,,,,,,,,,"x1016059981907386368 x34743251","teslaownersSV SpaceX","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/elonmusk/status/1538943339776684034","Elon Musk",,,,FALSE,99088213,114,96757,18553,13695,2009-06-02 20:12:29,TRUE,,,,"https://pbs.twimg.com/profile_banners/44196397/1576183471","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1529956155937759233/Nyn1HZWF_normal.jpg"
